ID,Phase Window,Top 10 Order,Title,Start Here Anchor,Profit Lever,Repo Area/Files Touched,Owner Lane,Effort,Dependencies,KPI Target,DoD,Status,Verification Evidence,Done Date,Done By
BH-001,0-14d,1,Lock profitability event taxonomy + KPI dictionary,Section 5.3 “Building One Checklist at a Time”; Section 10.6 “Time to Make It Visual”,Measurement foundation (faster decisions),docs/business/profitability-event-taxonomy-start-here.md (new); docs/business/profitability-execution-task-list-start-here.md,Product/Ops,S (0.5-1d),—,>=25 named events mapped to funnel stages and owners,"Event dictionary committed; each event has owner, trigger, payload, KPI mapping",Not Started,,,
BH-002,0-14d,2,Instrument client-side funnel events across high-traffic surfaces,Section 18.3 “Create an Executable Marketing Tracking Wall”,Conversion visibility,src/layouts/BaseLayout.astro; src/components/BudgetGearBuilder.svelte; src/components/DownloadModal.svelte; src/components/TrailChat.svelte; src/pages/videos/index.astro; src/components/prototypes/ProtoF_Ranger.svelte,Frontend,M (2-3d),BH-001,>=90% of priority CTA clicks emit trackable events,"Manual QA proves event fire for guide download, outbound gear click, video CTA, login, and chat usage",Not Started,,,
BH-003,0-14d,3,Create backend event ingestion API + analytics_events table,Section 10.1 “Holding Your Team Accountable”,Reliable KPI data,backend/database/migrations/*create_analytics_events_table.php (new); backend/app/Http/Controllers/Api/V1/AnalyticsEventController.php (new); backend/routes/api.php,Backend,M (2-3d),BH-001,100% valid events persisted with <2s write latency,POST /api/v1/analytics/events accepts batched payloads; request validation + auth/rate-limit + tests pass,Not Started,,,
BH-004,0-14d,4,Ship weekly profitability scorecard generation (execution KPIs + money KPIs),Section 11.4 “Getting Stuff Done with Quarterly Execution Plans”,Execution cadence,backend/app/Console/Commands/BuildProfitabilityScorecard.php (new); scripts/profitability-scorecard.mjs (new); docs/business/scorecards/ (new),Ops/Finance,M (2-3d),BH-002; BH-003,Automated weekly scorecard generated every Monday by 8am,"Scorecard includes overall % complete, by-phase %, top-10 %, leads, conversion, revenue, gross margin",Not Started,,,
BH-005,0-14d,5,Replace direct outbound gear links with tracked redirect flow,Section 17.5 “Create a Sales Tracking System”,Affiliate / partner attribution,backend/app/Http/Controllers/Api/V1/OutboundLinkController.php (new); backend/routes/api.php; src/components/BudgetGearBuilder.svelte; src/lib/outboundLinks.ts (new),Backend + Frontend,M (2-3d),BH-003,>=95% product-link clicks recorded with source + item_id,All “Buy” buttons route through redirect endpoint; click records stored with campaign metadata,Not Started,,,
BH-006,0-14d,6,Normalize gear link catalog + affiliate parameter map,Section 26.1 “Know your break-even point” (unit economics discipline),Revenue per click,src/data/gearRecommendations.json; src/data/affiliateMap.json (new); scripts/normalize-gear-links.mjs (new),Growth/Content,S-M (1-2d),BH-005,100% monetizable links tagged OR explicitly marked non-affiliate,Link linter returns zero untagged monetizable links; doc of partner terms committed,Not Started,,,
BH-007,0-14d,7,Add lead capture gate before Field Guide download,Section 5.9 “Identify the Quick-Paying Ideal and Likely Buyers”,Lead volume,src/components/DownloadModal.svelte; src/components/DownloadGuideButton.svelte; src/pages/guide/index.astro; backend/routes/api.php,Frontend,M (2d),BH-002; BH-003,Guide lead capture rate >=8% of unique /guide visitors,Email capture completes before PDF/MD download and emits lead_created event,Not Started,,,
BH-008,0-14d,8,Integrate email service + 5-message welcome sequence,Section 19.2 “Implement the WUPHF”,Lead nurturing,backend/config/services.php; backend/app/Http/Controllers/Api/V1/LeadCaptureController.php (new); backend/app/Jobs/SendLeadWelcomeSequence.php (new); docs/business/email-sequences/start-here-welcome.md (new),Backend/Growth,M-L (3-4d),BH-007,>=95% of new leads receive email #1 within 5 minutes,Lead creates contact + sequence trigger; bounce/error logging in place,Not Started,,,
BH-009,0-14d,9,"Insert monetization CTAs in homepage, videos, and tools hub",Section 12.3 “21 Core Tasks of Marketing/Sales Team”,CTR to offer pages,src/components/prototypes/ProtoF_Ranger.svelte; src/pages/videos/index.astro; src/components/tools/ToolsDashboard.svelte; src/components/Header.astro,Frontend/Growth,M (2d),BH-007; BH-008,Sitewide offer CTA CTR >=3% in first 14 days,"At least 3 contextual CTAs live (Lead magnet, Trail Kit, VideoHogg pilot), all tracked",Not Started,,,
BH-010,0-14d,10,Launch Start Here-aligned offers landing page,Section 18.2 “Create Uniform Marketing Materials”,Offer clarity and conversion,src/pages/start-here-offers.astro (new); src/components/BaseHead.astro; public/og-offers.png (new),Product/Content,S-M (1-2d),BH-009,Landing page lead-to-interest click rate >=5%,"Page includes offer stack, proof, CTA hierarchy, tracking params, and SEO metadata",Not Started,,,
